metric,variant,param,coef,std_err,pvalue
avg_word_length,hc1,time_post_1,-0.0008046910674378641,0.004969166333303404,0.8713555956798258
avg_word_length,hc1,mo_2,-0.05272925809363915,0.045937998691695785,0.2510365474955244
avg_word_length,hc1,mo_3,-0.060877334359015545,0.041854582375220606,0.14580876412913726
avg_word_length,hc1,mo_4,-0.04575395062550136,0.04614720086123836,0.32145205823614564
avg_word_length,hc1,mo_5,-0.016787245389498107,0.05457137084474714,0.7583714958755807
avg_word_length,hc1,mo_6,-0.058726987239021256,0.08488844488206351,0.4890543460407403
avg_word_length,hc1,mo_7,-0.0571008319105048,0.046129769312113086,0.2157789448619467
avg_word_length,hc1,mo_8,-0.020133729783776033,0.04533479132887458,0.6569615322694977
avg_word_length,hc1,mo_9,-0.04290096422173573,0.05425492591160746,0.4291019244706169
avg_word_length,hc1,mo_10,-0.05808639435828944,0.06054496732465907,0.3373609954514659
avg_word_length,hc1,mo_11,-0.03892041557218184,0.055003957006793475,0.4791980340819676
avg_word_length,hc1,mo_12,-0.06171698573262674,0.0699427336589322,0.37756426454919745
avg_word_length,hac,const,4.9992738036792,0.04369305283463587,0.0
avg_word_length,hac,time,-0.0016824510740244963,0.0014747691466607438,0.2539434428853248
avg_word_length,hac,post_0,-0.01430823279448612,0.03849451826781309,0.7101197000230658
avg_word_length,hac,time_post_0,0.013677003734506893,0.004000367666889493,0.000628663549019193
avg_word_length,hac,post_1,-0.05717332179451046,0.05364546991006228,0.28653108685025797
avg_word_length,hac,time_post_1,-0.0008046910674378641,0.004344957392818137,0.8530712740602895
avg_word_length,hac,mo_2,-0.05272925809363915,0.03658214682454538,0.14947362703554465
avg_word_length,hac,mo_3,-0.060877334359015545,0.03168239602263511,0.05467025119112979
avg_word_length,hac,mo_4,-0.04575395062550136,0.03854826792569316,0.23525671687557237
avg_word_length,hac,mo_5,-0.016787245389498107,0.043040064729233114,0.696508712021122
avg_word_length,hac,mo_6,-0.058726987239021256,0.06873941633159882,0.3929153868262609
avg_word_length,hac,mo_7,-0.0571008319105048,0.03369280929109177,0.09012317520148916
avg_word_length,hac,mo_8,-0.020133729783776033,0.033719978504327106,0.5504499110211922
avg_word_length,hac,mo_9,-0.04290096422173573,0.04549230309546459,0.3456615373158919
avg_word_length,hac,mo_10,-0.05808639435828944,0.04349665909953212,0.18173827680593302
avg_word_length,hac,mo_11,-0.03892041557218184,0.04294920400050274,0.36483188937289746
avg_word_length,hac,mo_12,-0.06171698573262674,0.06354784769690466,0.3314540524316354
